nura, nudec, angerr
11.634, -10.409, 0.49
7.913, -19.985, 0.55
29.919, -18.508, 0.48
37.528, -22.855, 0.46
15.896, -26.481, 0.97
19.802, -32.67, 0.34
37.589, -36.637, 0.74
1.718, -32.394, 0.86
23.616, -21.081, 1.14
8.905, -12.661, 1.22
14.966, -7.2, 1.12
42.493, -21.806, 0.28
30.713, -12.501, 0.7
12.024, -13.912, 0.35
6.716, -10.065, 0.41
13.133, -28.657, 0.6
25.811, -28.395, 0.48
34.819, -21.363, 1.11
22.842, -16.87, 0.92
28.362, -17.631, 0.84
22.312, -30.833, 0.66
25.568, -30.788, 0.54
20.393, -35.825, 0.34
12.849, -17.367, 0.8
3.756, -33.68, 0.62
25.765, -4.9, 0.75
25.327, -12.186, 0.42
14.871, -15.417, 0.39
13.451, -14.471, 0.57
16.178, -17.425, 1.22
39.574, -15.254, 0.86
36.602, -18.129, 1.15
15.161, -17.25, 0.47
6.834, -30.242, 1.03
13.759, -29.515, 0.62
28.488, -36.511, 0.38
20.94, -23.061, 1.2
38.047, -17.22, 0.65
31.631, -30.002, 1.19
28.265, -32.01, 1.17
14.937, -7.248, 0.68
23.71, -21.575, 0.9
4.22, -19.161, 1.27
14.447, -30.852, 0.57
26.386, -12.956, 0.85
31.258, -16.909, 0.58
33.648, -34.072, 0.66
7.871, -19.52, 1.27
7.166, -38.765, 0.36
18.301, -18.716, 0.37
20.905, -24.919, 0.35
31.805, -13.44, 0.24
13.948, -15.187, 0.89
25.045, -11.267, 0.51
13.134, -13.511, 0.99
10.812, -12.114, 0.33
18.905, -17.533, 0.8
37.215, -35.566, 0.44
28.745, -6.094, 0.32
22.798, -26.771, 1.18
15.866, -8.55, 0.51
37.686, -31.657, 0.73
3.058, -26.591, 0.36
40.32, -27.556, 0.44
34.826, -26.928, 0.83
19.19, -6.424, 0.39
18.194, -40.662, 0.87
36.449, -30.434, 1.13
22.343, -14.177, 0.53
36.763, -31.722, 0.54
28.48, -30.097, 0.79
39.587, -30.658, 1.14
26.494, -8.051, 0.77
19.436, -32.011, 1.28
7.935, -13.338, 1.26
27.255, -17.196, 0.68
17.033, -19.085, 0.82
8.788, -36.329, 0.48
38.668, -24.775, 1.1
14.157, -18.348, 0.51
7.053, -16.856, 0.46
30.774, -10.472, 0.71
9.995, -18.895, 1.15
23.743, -22.452, 0.76
28.528, -5.081, 1.01
17.046, -10.982, 0.64
25.267, -37.913, 0.75
13.091, -17.988, 0.98
359.935, -28.483, 0.33
9.629, -10.151, 0.66
7.219, -33.208, 0.29
7.226, -33.625, 0.82
43.013, -26.011, 1.09
15.652, -34.884, 0.9
8.907, -29.154, 0.48
23.277, -8.461, 0.98
11.723, -15.032, 0.67
22.752, -12.158, 0.96
0.327, -25.997, 0.49
25.954, -41.806, 0.46
36.506, -21.28, 0.49
36.732, -33.104, 0.61
39.332, -20.46, 0.83
12.158, -25.698, 0.41
8.624, -30.798, 0.43
35.957, -18.43, 0.91
31.101, -38.112, 0.44
10.117, -32.237, 0.79
2.128, -28.547, 0.72
15.225, -27.236, 0.34
12.144, -39.863, 0.81
38.418, -12.628, 0.6
35.624, -23.49, 0.86
11.04, -18.867, 1.07
8.836, -12.95, 1.21
21.271, -18.321, 0.82
14.957, -25.466, 0.89
32.582, -10.813, 0.78
18.509, -36.659, 1.01
30.611, -36.487, 0.45
9.907, -34.368, 0.39
16.579, -13.783, 0.64
8.801, -29.326, 0.94
6.011, -36.219, 0.45
13.894, -26.554, 1.15
